id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2020-0043,1,2020-09-30,17,avenida,"alem, leandro n. av. y paraguay",1,-58.37202621,-34.59717942,peaton,pasajeros,miércoles,peaton,peaton,masculino,64
2020-0044,1,2020-10-05,0,avenida,la plata av. e independencia av.,6,-58.42779702,-34.62207347,auto,auto,lunes,conductor,auto,masculino,43
2020-0045,1,2020-10-19,3,autopista,"paz, gral. av. y 27 de febrero av.",8,-58.46244952,-34.70524971,auto,cargas,lunes,conductor,auto,masculino,50
2020-0046,1,2020-10-27,21,avenida,"nazca av. y carranza, adolfo p.",11,-58.4844016,-34.60776782,moto,moto,martes,conductor,moto,masculino,41
2020-0047,1,2020-10-27,14,autopista,autopista presidente hã‰ctor j. cãmpora y lacarra av.,9,-58.46668375,-34.65174801,peaton,cargas,martes,peaton,peaton,masculino,15
2020-0048,1,2020-10-29,20,avenida,dorrego av. 614,15,-58.4495878,-34.59322448,moto,objeto fijo,jueves,conductor,moto,masculino,41
2020-0049,1,2020-10-30,20,avenida,"del libertador av. y ramos mejia, jose maria, dr. av.",1,-58.37533517,-34.59276462,peaton,auto,viernes,peaton,peaton,masculino,36
2020-0050,1,2020-11-01,22,avenida,santa fe av. y godoy cruz,14,-58.42525456,-34.57866344,peaton,moto,domingo,peaton,peaton,femenino,28
2020-0051,1,2020-11-05,0,avenida,avellaneda av. y mercedes,10,-58.48493828,-34.62981124,moto,auto,jueves,conductor,moto,masculino,49
2020-0052,1,2020-11-07,6,avenida,tucuman y pueyrredon av.,3,-58.40480504,-34.60183884,bicicleta,cargas,sábado,ciclista,bicicleta,masculino,44
2020-0053,1,2020-11-09,3,avenida,"alcorta, amancio av. y einstein, alberto",4,-58.41125934,-34.6541774,auto,auto,lunes,pasajero_acompañante,auto,masculino,27
2020-0054,1,2020-11-19,9,calle,inclan y alberti,4,-58.39956546,-34.6297708,bicicleta,auto,jueves,ciclista,bicicleta,masculino,59
2020-0055,1,2020-11-19,12,avenida,olazabal av. 5437,12,-58.49005682,-34.5786897,peaton,cargas,jueves,peaton,peaton,masculino,91
2020-0056,1,2020-11-21,13,autopista,"paz, gral. av. y roca, cnel. av.",8,-58.47064556,-34.69843756,moto,cargas,sábado,conductor,moto,femenino,34
2020-0057,1,2020-11-23,7,avenida,"nazca av. y viale, luis",11,-58.4750156,-34.61945902,peaton,auto,lunes,peaton,peaton,masculino,84
2020-0058,1,2020-11-24,16,avenida,"olivera av. y falcon, ramon l.,cnel.",10,-58.48727942,-34.63652467,peaton,auto,martes,peaton,peaton,masculino,57
2020-0059,1,2020-12-01,6,calle,brasil 1100,1,-58.3795169,-34.62794241,peaton,pasajeros,martes,peaton,peaton,femenino,49
